"Size" "Time"
7837692	474800
7716288	469000
5705933	345693
4449296	270360
5416925	330906
5918523	362506
6527015	394533
7225047	442960
6215260	382640
2881096	180026
3761251	235840
3771728	234093
2443602	149506
3006348	188560
4604450	289106
5112645	309693
3304117	200066
4187322	253200
3680598	222533
3195469	195600
3808975	230173
6165538	374466
8917959	543360
6360716	386533
4442948	270706
8992554	547266
7707445	469866
5112877	311493
12832547	786093
7463836	458133
9000873	558533
7107339	445906
7045020	445000
5313154	335333
7477074	468626
8121698	510106
4587373	278960
4713910	283040
5043269	304146
5578812	336360
4288959	257906
4526200	275453
4029601	242546
5002485	301920
5070454	307346
9245680	565426
9622832	589066
5519764	337573
11396993	695760
9293984	565973
9410522	572093
4430245	265133
4074290	243466
5102957	304440
5379357	322520
4235648	252813
4721282	283013
4977270	297826
5462405	328133
5635937	338760
4665940	295573
4845269	306693
4817381	304960
3905689	238906
6077363	384893
3850576	240186
4327458	274453
3289243	210293
4174639	263826
3155005	201360
4192316	257493
4752554	300920
1117974	73493
4889941	297000
1713656	108933
3111715	194306
2955004	181226
2188113	139373
2524614	155360
3054658	188200
2611376	165266
3314451	207400
1768465	110840
2293000	141866
2636879	163826
2268483	143173
2901526	184493
4427796	276573
1997967	126626
4320834	269400
4181672	253760
3189329	193400
2571968	161733
2695478	167000
2785574	174800
2306019	140600
3755573	231866
2891941	180573
4368865	266093
3401912	211240
3697650	227960
4216818	262760
3284922	201320
3845033	239826
4859825	296613
4529685	279306
1923665	117586
3542863	220346
4089921	249880
3153796	188173
3319976	205453
2519591	154493
3815200	230666
3464349	213480
3204464	194653
2807699	173373
3047124	187880
3472967	216386
3473782	212520
2037816	123160
4335086	263800
2787384	169706
1939344	118693
3415804	214066
1831165	111733
1961977	122306
4015393	242533
1471042	98893
3253000	197466
2959572	181040
2350586	147333
5398003	331760
10014484	629306
9936568	623186
9961816	626680
7994546	500906
6298553	396240
6647296	416626
7986532	501306
4084633	254986
20362077	1208893
20116685	1198866
20365066	1209773
5472866	304160
5135093	320933
2632261	163493
5281165	325866
4986729	304800
2689739	164973
4380739	271626
6794416	410640
6576915	412800
3961654	239666
4492140	283426
3879442	244200
4485015	276306
5191193	318626
3646635	228733
4837530	297306
5055383	309160
4994117	307466
5227537	327800
3496219	223040
5264636	331133
3753873	238333
5679732	351400
5076320	319360
9332914	388780
5234620	218017
24866622	2070282
23505851	1956884
10236388	851095
28211037	2348982
14659128	1219657
896145	55980
16541512	1376522
29791236	2480666
7522997	624979
21782093	1813237
31510929	2623973
29888726	2488790
22070486	1837270
8631408	719098
37128597	3093864
6741188	561580
24850648	2065946
25644019	2136816
9034868	752718
32301507	2691604
8790049	732316
26026138	2168659
24339673	2028120
9506929	792058
27967455	2330435
11411256	950752
19210061	1600653
30848239	2570501
27096324	2257841
28011341	2334093
30447937	2537142
4252936	260675
3903939	238863
5606298	345260
4120884	252421
2943043	178808
4920843	302419
3239813	197355
2900844	176169
5472134	336875
4623681	283846
3591760	219350
3042866	216581
2636188	187533
1772385	125831
1597194	113319
1643997	116662
2371769	168646
2215974	157518
3813053	271595
2476367	176117
2162583	153704
3057488	217626
2134072	151666
3340195	237818
2822694	200855
4035828	252212
3721518	232568
5530871	345652
4334666	270889
2292944	143281
4783549	298945
4946139	309106
4098525	256130
3566470	222876
2337244	146050
4551585	284447
5780811	361273
3775474	235937
3622916	225697
3516329	219742
3120531	195004
3515495	219689
3824785	239020
3337043	208535
2768600	173008
3373401	210808
3556046	222223
3321985	207595
4740963	296280
5429921	331467
7612089	467853
4408017	267598
3300004	198347
7866217	483735
4609467	280189
3667401	221309
7729544	475193
1483146	84793
3084764	184894
7621719	468453
8543215	336352
5358953	202213
6952627	268382
5295136	204878
10968199	438021
5553553	214386
8306847	324466
8871506	339853
20119197	892917
11920467	370390
12273897	380969
15213933	476839
13552004	445727
11537871	374778
11489415	366106
12677223	410984
24430349	777482
22105470	643918
4639015	579604
7894075	307513
5261649	188368
11906150	475454
7890331	324075
3884651	242651
3163675	197590
3138597	196022
3777228	235937
5294428	330762
5257647	328463
5667660	354089
3591245	224313
4156749	259657
5662239	353750
5452841	340662
4115413	257071
2550656	159268
6135879	383346
340430	21133
4658379	291004
1887722	117838
4831045	301792
1903200	118804
1509056	94171
598327	37250
4701855	293720
2562350	160000
2281882	142471
4500863	281155
751705	46837
3381518	211200
9075428	567066
862094	53733
9048618	565394
683152	42553
1286288	80248
2673059	166922
3211878	200594
1277094	79673
1975917	123350
1802967	112535
6631235	414302
9672663	604395
502191	31242
6000858	374909
2992874	186906
1597766	99709
3222260	201247
2248868	140408
9347502	584071
1971362	123062
4690994	293041
12411982	775601
6492001	405603
3898990	243539
7283653	455079
6590655	411768
2494665	155768
1395854	87092
14165342	885185
1722240	107493
11405896	474070
1085867	44068
1133512	46053
4629963	191738
1333491	54386
6173444	256052
917844	37067
6629873	275069
3253827	134400
1149799	46733
4465692	184894
2050103	84244
4781665	198060
1644480	67343
1477059	60368
1540414	63007
1529725	62563
2813715	116062
2430040	100075
7140216	296333
1147297	46628
1329751	54230
5693854	236068
2141629	88058
1391182	56790
3599906	148819
6595408	273632
3340333	138004
7757739	322063
5573490	231053
1509669	61727
1085857	44068
1789939	73404
1589935	65071
4925834	204068
2934117	121077
