"kleur" "score" "sym"
"red" -0.544892833713653 "25"
"red" -0.962433067851264 "25"
"red" -0.679762772680119 "25"
"red" -0.513563059973097 "25"
"red" -0.32059147574886 "25"
"red" 0.714073528766347 "25"
"red" -0.858988193932887 "25"
"red" -1.15442013271542 "25"
"red" -1.93014214865558 "25"
"red" -0.70120206373091 "25"
"red" -1.84104580967657 "25"
"red" -0.963962234668821 "25"
"red" -1.13214458844149 "25"
"red" -1.8125550444985 "25"
"red" -1.56866054500104 "25"
"grey50" -0.100733873028596 "23"
"grey50" 0.408446288482834 "23"
"grey50" -0.532932552841502 "23"
"grey50" -2.38992977463205 "23"
"grey50" 0.186045063074426 "23"
"grey50" 1.13652929883789 "23"
"grey50" -0.50213004857331 "23"
"grey50" 0.413359601781656 "23"
"grey50" -1.17100922991435 "23"
"grey50" 1.99471035715086 "23"
"grey50" 0.213034214501261 "23"
"grey50" -0.33626269945193 "23"
"grey50" 1.4608431368902 "23"
"grey50" 0.569243257072648 "23"
"grey50" 1.13547712049277 "23"
"blue" -0.861175322785181 "24"
"blue" 0.562657171037278 "24"
"blue" -0.559793580257728 "24"
"blue" 0.802394296996146 "24"
"blue" -0.181436500925524 "24"
"blue" 0.205935585914171 "24"
"blue" 1.02585005819695 "24"
"blue" 1.43338459316059 "24"
"blue" 0.557566338431628 "24"
"blue" 0.00640491794411507 "24"
"blue" 1.93166441479015 "24"
"blue" 0.362188801489537 "24"
"blue" -0.0506931910608499 "24"
"blue" -0.987864560905059 "24"
"blue" 0.612901436972681 "24"
