38,KEL
51,KEL
46,KEL
72,KEL
55,KEL
92,KEL
71,KEL
83,KEL
50,KEL
87,KEL
75,KEL
89,KEL
58,Spa
56,Spa
54,Spa
81,Spa
60,Spa
84,Spa
49,Spa
89,Spa
93,Spa
79,Spa
77,Spa
90,Spa
92,Spa
73,Spa
47,Spa
77,Spa
85,Spa
67,Spa
89,Spa
46,Fra
77,Fra
64,Fra
93,Fra
48,Fra
66,Fra
84,Fra
89,Fra
82,Fra
82,Fra
82,Fra
63,Fra
82,Fra
76,Fra
56,Fra
88,Fra
83,Fra
75,Fra
62,Fra
76,Fra
69,Fra
83,Fra
58,Fra
94,TW
95,TW
96,TW
79,TW
81,TW
75,TW
87,TW
89,TW
76,TW
86,TW
80,TW
94,TW
85,TW
75,TW
89,TW
97,TW
60,TW
91,TW
84,TW
83,TW
87,TW
88,TW
86,TW
72,TW
93,TW
94,TW
85,TW
90,TW
76,TW
73,TW
76,TW
79,TW
83,TW
92,TW
78,Dui
90,Dui
87,Dui
73,Dui
90,Dui
74,Dui
82,Dui
74,Dui
69,Dui
83,Dui
89,Dui
86,Dui
90,Dui
87,Dui
90,Dui
43,Dui
71,Dui
85,Dui
85,Dui
94,Dui
79,Ita
91,Ita
83,Ita
68,Ita
59,Ita
60,Ita
83,Eng
86,Eng
48,Eng
89,Eng
74,Eng
45,Eng
52,Eng
56,Eng
68,Eng
58,Eng
74,Eng
77,Eng
63,Eng
53,Eng
96,Eng
72,Eng
61,Eng
81,Eng
83,Eng
63,Eng
71,Eng
73,Eng
82,Eng
52,Eng
56,Eng
78,Eng
62,Eng
85,Eng
70,Eng
81,Eng
73,Eng
56,Eng
91,Eng
69,Eng
54,Eng
50,Eng
67,Eng
40,Eng
65,Eng
73,Eng
83,Eng
75,Eng
60,Eng
74,Eng
88,Eng
82,Eng
78,Eng
58,Eng
57,Eng
85,Eng
68,Eng
58,Eng
75,Eng
79,Eng
78,Eng
52,Eng
69,Eng
92,Eng
29,Eng
79,Eng
69,Eng
54,Eng
57,Eng
76,Eng
84,Eng
60,Eng
51,Eng
72,Eng
89,Eng
79,Eng
83,Eng
74,Eng
85,Eng
55,Eng
65,Eng
70,Eng
71,Eng
80,Eng
84,Eng
66,Eng
74,Eng
88,Eng
55,Eng
74,Eng
68,Eng
79,Eng
88,Eng
83,Eng
77,Eng
79,Eng
55,Eng
83,Eng
88,Eng
74,Eng
38,Eng
94,Eng
89,Eng
84,Eng
64,Eng
71,Eng
84,Eng
69,Eng
82,Eng
79,Eng
73,Eng
55,Eng
58,Eng
49,Eng
90,Eng
52,Eng
55,Eng
62,Eng
88,Eng
85,Eng
78,Eng
87,Eng
87,Eng
75,Eng
97,Eng
